Lon       Lat      Dep  Vel  Mag      Fast
98.500000 26.000000 110 4.370 0.010116 -80.089476
98.500000 26.000000 120 4.431 0.009801 -83.348891
98.500000 26.000000 130 4.475 0.009184 -85.288598
98.500000 26.000000 140 4.502 0.008330 -86.400987
98.500000 26.000000 150 4.519 0.007340 -86.975983
98.500000 26.500000 0 3.139 0.023077 -5.938501
98.500000 26.500000 5 3.122 0.013664 -17.545268
98.500000 26.500000 10 3.344 0.011352 -29.273586
98.500000 26.500000 15 3.466 0.004706 -22.104284
98.500000 26.500000 20 3.555 0.006136 24.186808
98.500000 26.500000 25 3.591 0.011406 25.450984
98.500000 26.500000 30 3.618 0.013882 19.141754
98.500000 26.500000 35 3.662 0.014941 10.490854
98.500000 26.500000 40 3.720 0.015884 1.941236
98.500000 26.500000 45 3.802 0.014951 -3.944492
98.500000 26.500000 50 4.236 0.014188 -8.653066
98.500000 26.500000 55 4.337 0.014605 -12.352956
98.500000 26.500000 60 4.323 0.013983 -14.937815
98.500000 26.500000 65 4.315 0.012192 -17.005622
98.500000 26.500000 70 4.225 0.015976 -20.277104
98.500000 26.500000 80 4.179 0.004763 -34.933222
98.500000 26.500000 90 4.264 0.006330 87.010561
98.500000 26.500000 100 4.351 0.012237 80.168369
98.500000 26.500000 110 4.424 0.015564 78.770133
98.500000 26.500000 120 4.480 0.016703 78.535371
98.500000 26.500000 130 4.518 0.016287 78.771363
98.500000 26.500000 140 4.542 0.014898 79.266446
98.500000 26.500000 150 4.555 0.013011 79.940251
98.500000 27.000000 0 3.163 0.022971 -8.391389
98.500000 27.000000 5 3.197 0.013473 -14.301222
98.500000 27.000000 10 3.465 0.009280 -19.047036
98.500000 27.000000 15 3.539 0.005113 -8.281777
98.500000 27.000000 20 3.533 0.005674 14.632554
98.500000 27.000000 25 3.492 0.008145 15.628746
98.500000 27.000000 30 3.483 0.010078 8.126049
98.500000 27.000000 35 3.537 0.012152 -0.514065
98.500000 27.000000 40 3.633 0.014391 -7.275983
98.500000 27.000000 45 3.763 0.014263 -11.069409
98.500000 27.000000 50 4.232 0.013965 -13.904592
98.500000 27.000000 55 4.367 0.014981 -16.420908
98.500000 27.000000 60 4.384 0.015072 -18.308903
98.500000 27.000000 65 4.400 0.014030 -19.893455
98.500000 27.000000 70 4.380 0.021875 -22.274109
98.500000 27.000000 80 4.385 0.012061 -27.531340
98.500000 27.000000 90 4.430 0.004451 -47.725520
98.500000 27.000000 100 4.465 0.005621 -89.459941
98.500000 27.000000 110 4.491 0.009174 80.922441
98.500000 27.000000 120 4.511 0.011105 77.731783
98.500000 27.000000 130 4.524 0.011605 76.046565
98.500000 27.000000 140 4.532 0.011136 74.896261
98.500000 27.000000 150 4.536 0.010107 73.967702
98.500000 27.500000 0 3.216 0.025102 -11.664503
98.500000 27.500000 5 3.298 0.014566 -16.276350
98.500000 27.500000 10 3.497 0.013182 -13.864249
98.500000 27.500000 15 3.505 0.011828 -7.035652
98.500000 27.500000 20 3.483 0.010179 0.610002
98.500000 27.500000 25 3.447 0.008861 5.281143
98.500000 27.500000 30 3.449 0.007670 4.329003
98.500000 27.500000 35 3.515 0.006962 -2.352256
98.500000 27.500000 40 3.619 0.007296 -11.564074
98.500000 27.500000 45 3.737 0.008461 -18.924061
98.500000 27.500000 50 3.856 0.009815 -23.633978
98.500000 27.500000 55 3.966 0.010946 -26.650159
98.500000 27.500000 60 4.058 0.010495 -28.425216
98.500000 27.500000 65 4.465 0.009659 -29.665800
98.500000 27.500000 70 4.622 0.018590 -31.867617
98.500000 27.500000 80 4.697 0.015632 -35.857953
98.500000 27.500000 90 4.706 0.011430 -42.483152
98.500000 27.500000 100 4.688 0.007932 -54.103066
98.500000 27.500000 110 4.659 0.006477 -70.567618
98.500000 27.500000 120 4.627 0.006730 -84.412351
98.500000 27.500000 130 4.598 0.007325 87.293819
98.500000 27.500000 140 4.575 0.007605 82.344334
